[PAYMENT_FAIL] 2025-05-09T14:27:40+09:00 | amount=4500
[PAYMENT_FAIL] 2025-05-09T14:28:09+09:00 | amount=4500
[PAYMENT_FAIL] 2025-05-09T14:29:07+09:00 | amount=2800
[PAYMENT_FAIL] 2025-05-09T14:29:37+09:00 | amount=2800
[PAYMENT_FAIL] 2025-05-09T14:34:49+09:00 | amount=2330
[PAYMENT_FAIL] 2025-05-09T14:35:18+09:00 | amount=2330
[PAYMENT_FAIL] 2025-05-09T14:37:27+09:00 | amount=2830
[PAYMENT_FAIL] 2025-05-09T14:37:55+09:00 | amount=2830
[PAYMENT_FAIL] 2025-05-09T14:42:44+09:00 | amount=2800
[PAYMENT_FAIL] 2025-05-09T14:43:13+09:00 | amount=2800
[PAYMENT_FAIL] 2025-05-09T14:47:01+09:00 | amount=300
[PAYMENT_FAIL] 2025-05-09T14:47:29+09:00 | amount=300
